bigram,comfort_score
qw,0.42844041845326786
qe,0.3236813371259178
qr,0.21892225579856778
qt,0.0
qa,0.6896539855734617
qs,0.5696684759124673
qd,0.4806353243119999
qf,0.30444316699511553
qg,0.08552091119654777
qz,0.8368132023259477
qx,0.8180270151640623
qc,0.7071160818961855
qv,0.45160238374760153
qb,0.2326801279490338
wq,0.46199246916821657
we,0.42844041845326786
wr,0.3236813371259178
wt,0.10475908132735012
wa,0.5907080574785071
ws,0.7735192424158145
wd,0.6285890827530928
wf,0.45239692543620835
wg,0.23347466963764058
wz,0.7597450558984027
wx,1.0
wc,0.8769476220046879
wv,0.5995561421886944
wb,0.38063388639012663
eq,0.35723338784086656
ew,0.46199246916821657
er,0.42844041845326786
et,0.20951816265470008
ea,0.48594897615115706
es,0.6464152037411587
ed,0.7735192424158145
ef,0.5571560067635584
eg,0.33823375096499064
ez,0.6331081929036431
ex,0.8947737429927537
ec,1.0
ev,0.7261930051834539
eb,0.5072707493848861
rq,0.2524743065135165
rw,0.35723338784086656
re,0.46199246916821657
rt,0.42588139830695626
ra,0.2556041134389778
rs,0.4160703410289795
rd,0.5365553520832123
rf,0.6896539855734617
rg,0.4707317297748939
rz,0.4027633301914639
rx,0.6425510986131651
rc,0.7849138913348075
rv,0.8368132023259477
rb,0.61789094652738
tq,0.03355205071494871
tw,0.13831113204229883
te,0.24307021336964882
tr,0.42588139830695626
ta,0.03668185764041006
ts,0.19714808523041177
td,0.3176330962846446
tf,0.4707317297748939
tg,0.575490811102244
tz,0.18384107439289615
tx,0.42362884281459734
tc,0.5659916355362397
tv,0.61789094652738
tb,0.72265002785473
aq,0.6896539855734617
aw,0.5571560067635584
ae,0.45239692543620835
ar,0.22205206272402908
at,0.003129806925461272
as,0.42844041845326786
ad,0.3236813371259178
af,0.21892225579856778
ag,0.0
az,0.7735192424158145
ax,0.7328552735865196
ac,0.6438221219860524
av,0.3883084238374684
ab,0.16938616803890064
sq,0.603220526627416
sw,0.7735192424158145
se,0.61286315302621
sr,0.3825182903140308
st,0.16359603451546306
sa,0.46199246916821657
sd,0.42844041845326786
sf,0.3236813371259178
sg,0.10475908132735012
sz,0.5907080574785071
sx,0.8528407832475141
sc,0.7079106235847922
sv,0.45239692543620835
sb,0.23347466963764058
dq,0.5141873750269487
dw,0.6621411334680415
de,0.7735192424158145
dr,0.5030033013682635
dt,0.2840810455696959
da,0.35723338784086656
ds,0.46199246916821657
df,0.42844041845326786
dg,0.20951816265470008
dz,0.48594897615115706
dx,0.7257367445728584
dc,0.8528407832475141
dv,0.5571560067635584
db,0.33823375096499064
fq,0.3379952177100642
fw,0.48594897615115706
fe,0.5907080574785071
fr,0.6896539855734617
ft,0.4707317297748939
fa,0.2524743065135165
fs,0.35723338784086656
fd,0.46199246916821657
fg,0.42588139830695626
fz,0.33946937028133056
fx,0.5792571387030319
fc,0.6997421497572646
fv,0.7735192424158145
fb,0.5545969866172468
gq,0.11907296191149648
gw,0.2670267203525893
ge,0.37178580167993935
gr,0.4707317297748939
gt,0.575490811102244
ga,0.03355205071494871
gs,0.13831113204229883
gd,0.24307021336964882
gf,0.42588139830695626
gz,0.12054711448276292
gx,0.36033488290446414
gc,0.48081989395869695
gv,0.5545969866172468
gb,0.6593560679445968
zq,0.8368132023259477
zw,0.7261930051834539
ze,0.5995561421886944
zr,0.3692112794765151
zt,0.15028902367794736
za,0.7735192424158145
zs,0.5571560067635584
zd,0.45239692543620835
zf,0.30591731956638196
zg,0.08699506376781414
zx,0.42844041845326786
zc,0.3236813371259178
zv,0.21892225579856778
zb,0.0
xq,0.851579065879011
xw,1.0
xe,0.861221692277805
xr,0.6089990478982164
xt,0.39007679209964863
xa,0.7664073243014683
xs,0.8528407832475141
xd,0.6921846938579095
xf,0.5457050879880831
xg,0.3267828321895154
xz,0.46199246916821657
xc,0.42844041845326786
xv,0.3236813371259178
xb,0.10475908132735012
cq,0.7406681326111342
cw,0.9104996727196366
ce,1.0
cr,0.7513618406198586
ct,0.532439584821291
ca,0.6773741727010011
cs,0.7414626742997411
cd,0.8528407832475141
cf,0.666190099042316
cg,0.44726784324374824
cz,0.35723338784086656
cx,0.46199246916821657
cv,0.42844041845326786
cb,0.20951816265470008
vq,0.48515443446255024
vw,0.6331081929036431
ve,0.7597450558984027
vr,0.8368132023259477
vt,0.61789094652738
va,0.4218604745524171
vs,0.48594897615115706
vd,0.5907080574785071
vf,0.7735192424158145
vg,0.5545969866172468
vz,0.2524743065135165
vx,0.35723338784086656
vc,0.46199246916821657
vb,0.42588139830695626
bq,0.2662321786639825
bw,0.41418593710507534
be,0.5408228000998349
br,0.61789094652738
bt,0.72265002785473
ba,0.20293821875384935
bs,0.2670267203525893
bd,0.37178580167993935
bf,0.5545969866172468
bg,0.6593560679445968
bz,0.03355205071494871
bx,0.13831113204229883
bc,0.24307021336964882
bv,0.42588139830695626
po,0.42844041845326786
pi,0.3236813371259178
pu,0.21892225579856778
py,0.0
p;,0.6896539855734617
pl,0.5696684759124673
pk,0.4806353243119999
pj,0.30444316699511553
ph,0.08552091119654777
p/,0.8368132023259477
p.,0.8180270151640623
"p,",0.7071160818961855
pm,0.45160238374760153
pn,0.2326801279490338
op,0.46199246916821657
oi,0.42844041845326786
ou,0.3236813371259178
oy,0.10475908132735012
o;,0.5907080574785071
ol,0.7735192424158145
ok,0.6285890827530928
oj,0.45239692543620835
oh,0.23347466963764058
o/,0.7597450558984027
o.,1.0
"o,",0.8769476220046879
om,0.5995561421886944
on,0.38063388639012663
ip,0.35723338784086656
io,0.46199246916821657
iu,0.42844041845326786
iy,0.20951816265470008
i;,0.48594897615115706
il,0.6464152037411587
ik,0.7735192424158145
ij,0.5571560067635584
ih,0.33823375096499064
i/,0.6331081929036431
i.,0.8947737429927537
"i,",1.0
im,0.7261930051834539
in,0.5072707493848861
up,0.2524743065135165
uo,0.35723338784086656
ui,0.46199246916821657
uy,0.42588139830695626
u;,0.2556041134389778
ul,0.4160703410289795
uk,0.5365553520832123
uj,0.6896539855734617
uh,0.4707317297748939
u/,0.4027633301914639
u.,0.6425510986131651
"u,",0.7849138913348075
um,0.8368132023259477
un,0.61789094652738
yp,0.03355205071494871
yo,0.13831113204229883
yi,0.24307021336964882
yu,0.42588139830695626
y;,0.03668185764041006
yl,0.19714808523041177
yk,0.3176330962846446
yj,0.4707317297748939
yh,0.575490811102244
y/,0.18384107439289615
y.,0.42362884281459734
"y,",0.5659916355362397
ym,0.61789094652738
yn,0.72265002785473
;p,0.6896539855734617
;o,0.5571560067635584
;i,0.45239692543620835
;u,0.22205206272402908
;y,0.003129806925461272
;l,0.42844041845326786
;k,0.3236813371259178
;j,0.21892225579856778
;h,0.0
;/,0.7735192424158145
;.,0.7328552735865196
";,",0.6438221219860524
;m,0.3883084238374684
;n,0.16938616803890064
lp,0.603220526627416
lo,0.7735192424158145
li,0.61286315302621
lu,0.3825182903140308
ly,0.16359603451546306
l;,0.46199246916821657
lk,0.42844041845326786
lj,0.3236813371259178
lh,0.10475908132735012
l/,0.5907080574785071
l.,0.8528407832475141
"l,",0.7079106235847922
lm,0.45239692543620835
ln,0.23347466963764058
kp,0.5141873750269487
ko,0.6621411334680415
ki,0.7735192424158145
ku,0.5030033013682635
ky,0.2840810455696959
k;,0.35723338784086656
kl,0.46199246916821657
kj,0.42844041845326786
kh,0.20951816265470008
k/,0.48594897615115706
k.,0.7257367445728584
"k,",0.8528407832475141
km,0.5571560067635584
kn,0.33823375096499064
jp,0.3379952177100642
jo,0.48594897615115706
ji,0.5907080574785071
ju,0.6896539855734617
jy,0.4707317297748939
j;,0.2524743065135165
jl,0.35723338784086656
jk,0.46199246916821657
jh,0.42588139830695626
j/,0.33946937028133056
j.,0.5792571387030319
"j,",0.6997421497572646
jm,0.7735192424158145
jn,0.5545969866172468
hp,0.11907296191149648
ho,0.2670267203525893
hi,0.37178580167993935
hu,0.4707317297748939
hy,0.575490811102244
h;,0.03355205071494871
hl,0.13831113204229883
hk,0.24307021336964882
hj,0.42588139830695626
h/,0.12054711448276292
h.,0.36033488290446414
"h,",0.48081989395869695
hm,0.5545969866172468
hn,0.6593560679445968
/p,0.8368132023259477
/o,0.7261930051834539
/i,0.5995561421886944
/u,0.3692112794765151
/y,0.15028902367794736
/;,0.7735192424158145
/l,0.5571560067635584
/k,0.45239692543620835
/j,0.30591731956638196
/h,0.08699506376781414
/.,0.42844041845326786
"/,",0.3236813371259178
/m,0.21892225579856778
/n,0.0
.p,0.851579065879011
.o,1.0
.i,0.861221692277805
.u,0.6089990478982164
.y,0.39007679209964863
.;,0.7664073243014683
.l,0.8528407832475141
.k,0.6921846938579095
.j,0.5457050879880831
.h,0.3267828321895154
./,0.46199246916821657
".,",0.42844041845326786
.m,0.3236813371259178
.n,0.10475908132735012
",p",0.7406681326111342
",o",0.9104996727196366
",i",1.0
",u",0.7513618406198586
",y",0.532439584821291
",;",0.6773741727010011
",l",0.7414626742997411
",k",0.8528407832475141
",j",0.666190099042316
",h",0.44726784324374824
",/",0.35723338784086656
",.",0.46199246916821657
",m",0.42844041845326786
",n",0.20951816265470008
mp,0.48515443446255024
mo,0.6331081929036431
mi,0.7597450558984027
mu,0.8368132023259477
my,0.61789094652738
m;,0.4218604745524171
ml,0.48594897615115706
mk,0.5907080574785071
mj,0.7735192424158145
mh,0.5545969866172468
m/,0.2524743065135165
m.,0.35723338784086656
"m,",0.46199246916821657
mn,0.42588139830695626
np,0.2662321786639825
no,0.41418593710507534
ni,0.5408228000998349
nu,0.61789094652738
ny,0.72265002785473
n;,0.20293821875384935
nl,0.2670267203525893
nk,0.37178580167993935
nj,0.5545969866172468
nh,0.6593560679445968
n/,0.03355205071494871
n.,0.13831113204229883
"n,",0.24307021336964882
nm,0.42588139830695626
