,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
participant_intercept[189],-0.38,0.959,-2.231,1.385,0.005,0.008,39947.0,10366.0,1.0
participant_intercept[190],0.932,0.99,-0.864,2.854,0.005,0.006,39066.0,10376.0,1.0
participant_intercept[191],0.55,0.951,-1.291,2.306,0.005,0.008,43061.0,10499.0,1.0
participant_intercept[192],0.94,1.005,-0.889,2.923,0.005,0.007,38677.0,10506.0,1.0
participant_intercept[193],1.523,0.962,-0.287,3.34,0.005,0.005,39738.0,10127.0,1.0
participant_intercept[194],-0.353,0.988,-2.234,1.492,0.005,0.009,38505.0,10915.0,1.0
participant_intercept[195],0.938,0.981,-0.863,2.829,0.005,0.006,39164.0,10671.0,1.0
participant_intercept[196],-1.14,0.963,-2.971,0.624,0.005,0.006,36236.0,9810.0,1.0
participant_intercept[197],-0.899,0.985,-2.751,0.945,0.005,0.007,41968.0,10767.0,1.0
participant_intercept[198],0.552,1.008,-1.26,2.511,0.005,0.008,44720.0,10504.0,1.0
participant_intercept[199],-0.874,0.968,-2.619,0.987,0.005,0.006,43169.0,10497.0,1.0
participant_intercept[200],-0.662,0.944,-2.476,1.08,0.005,0.007,39517.0,11509.0,1.0
participant_intercept[201],0.109,0.978,-1.728,1.926,0.005,0.009,38145.0,10892.0,1.0
participant_intercept[202],-0.037,0.981,-1.796,1.859,0.005,0.01,40651.0,11076.0,1.0
participant_intercept[203],-0.08,0.981,-1.966,1.728,0.005,0.009,38033.0,10270.0,1.0
participant_intercept[204],-0.134,0.988,-1.996,1.729,0.005,0.01,44275.0,9904.0,1.0
participant_intercept[205],-0.507,1.014,-2.403,1.407,0.005,0.009,35233.0,10388.0,1.0
participant_intercept[206],-0.138,0.998,-2.052,1.671,0.005,0.009,39099.0,10655.0,1.0
participant_intercept[207],0.171,0.99,-1.631,2.058,0.005,0.01,43596.0,10928.0,1.0
participant_intercept[208],-0.911,0.982,-2.682,1.02,0.005,0.006,42950.0,10071.0,1.0
participant_intercept[209],0.489,0.973,-1.299,2.367,0.005,0.008,40206.0,10519.0,1.0
participant_intercept[210],-0.458,0.988,-2.3,1.394,0.005,0.008,42160.0,10269.0,1.0
participant_intercept[211],0.926,1.003,-0.981,2.777,0.005,0.007,42594.0,10139.0,1.0
participant_intercept[212],0.939,0.978,-0.846,2.803,0.005,0.006,44950.0,11831.0,1.0
participant_intercept[213],-1.067,0.966,-2.892,0.728,0.005,0.006,39945.0,10998.0,1.0
participant_intercept[214],0.932,0.982,-0.864,2.796,0.005,0.006,35271.0,10774.0,1.0
participant_intercept[215],-0.178,0.985,-2.058,1.662,0.005,0.01,36229.0,10198.0,1.0
participant_intercept[216],-0.153,0.982,-1.959,1.717,0.005,0.009,41824.0,10714.0,1.0
participant_intercept[217],-0.136,0.988,-1.994,1.705,0.005,0.009,39040.0,10691.0,1.0
participant_intercept[218],-0.4,1.002,-2.287,1.438,0.005,0.008,38959.0,11272.0,1.0
participant_intercept[219],-0.73,0.982,-2.581,1.11,0.005,0.007,34349.0,9936.0,1.0
participant_intercept[220],-2.829,0.964,-4.681,-1.06,0.005,0.004,37131.0,10548.0,1.0
participant_intercept[221],-1.703,0.973,-3.53,0.116,0.005,0.005,41392.0,10231.0,1.0
participant_intercept[222],0.635,0.984,-1.172,2.504,0.005,0.007,40151.0,11250.0,1.0
participant_intercept[223],0.022,0.991,-1.828,1.849,0.005,0.01,45697.0,10628.0,1.0
participant_intercept[224],-1.196,0.957,-2.994,0.561,0.005,0.005,36907.0,11157.0,1.0
participant_intercept[225],0.479,0.974,-1.331,2.315,0.005,0.008,35806.0,9998.0,1.0
participant_intercept[226],0.668,0.989,-1.141,2.595,0.005,0.008,37495.0,9450.0,1.0
participant_intercept[227],-1.351,0.97,-3.15,0.493,0.005,0.006,39219.0,9764.0,1.0
participant_intercept[228],-1.235,0.993,-3.099,0.588,0.005,0.006,39835.0,10718.0,1.0
participant_intercept[229],0.683,0.993,-1.162,2.527,0.005,0.008,38447.0,10443.0,1.0
participant_intercept[230],-0.329,0.98,-2.146,1.515,0.005,0.009,37152.0,11091.0,1.0
participant_intercept[231],0.935,0.975,-0.857,2.824,0.005,0.006,35857.0,10464.0,1.0
participant_intercept[232],-0.62,0.983,-2.474,1.173,0.005,0.007,37532.0,10785.0,1.0
participant_intercept[233],0.899,0.965,-0.876,2.704,0.005,0.006,42351.0,11128.0,1.0
participant_intercept[234],0.013,0.97,-1.863,1.801,0.005,0.01,39965.0,10690.0,1.0
participant_intercept[235],-0.031,0.98,-1.936,1.796,0.005,0.01,36911.0,10530.0,1.0
participant_intercept[236],2.316,0.965,0.477,4.123,0.005,0.004,40026.0,10941.0,1.0
participant_intercept[237],0.11,0.977,-1.844,1.871,0.005,0.009,40990.0,10664.0,1.0
participant_intercept[238],0.931,0.99,-0.916,2.793,0.005,0.007,41069.0,10716.0,1.0
participant_intercept[239],-1.41,0.99,-3.232,0.476,0.005,0.005,42292.0,10940.0,1.0
participant_intercept[240],-1.281,0.959,-3.077,0.541,0.005,0.005,43787.0,10910.0,1.0
participant_intercept[241],0.918,0.986,-0.865,2.819,0.005,0.006,38265.0,10521.0,1.0
participant_intercept[242],0.73,0.999,-1.115,2.59,0.005,0.007,37923.0,11053.0,1.0
participant_intercept[243],0.647,0.997,-1.22,2.516,0.005,0.008,38617.0,10197.0,1.0
participant_intercept[244],2.328,0.967,0.535,4.169,0.005,0.004,38071.0,10310.0,1.0
participant_intercept[245],-0.645,1.001,-2.547,1.232,0.005,0.008,41481.0,9432.0,1.0
participant_intercept[246],0.143,0.979,-1.687,1.995,0.005,0.009,43252.0,10228.0,1.0
participant_intercept[247],-0.394,0.973,-2.175,1.479,0.005,0.008,39424.0,11228.0,1.0
participant_intercept[248],0.902,0.991,-0.997,2.74,0.005,0.006,39283.0,10420.0,1.0
participant_intercept[249],0.93,0.975,-0.984,2.705,0.005,0.006,44416.0,10796.0,1.0
participant_intercept[250],0.914,0.97,-0.855,2.781,0.005,0.006,40914.0,10619.0,1.0
participant_intercept[251],0.067,1.0,-1.81,1.923,0.005,0.01,41140.0,10580.0,1.0
participant_intercept[252],-0.483,0.991,-2.292,1.417,0.005,0.008,41843.0,10676.0,1.0
participant_intercept[253],-1.104,0.981,-2.937,0.738,0.005,0.006,43113.0,10970.0,1.0
participant_intercept[254],0.933,1.001,-0.906,2.834,0.005,0.007,40927.0,9949.0,1.0
participant_intercept[255],-0.023,0.995,-1.905,1.817,0.005,0.01,45144.0,10775.0,1.0
participant_intercept[256],0.942,0.989,-0.855,2.853,0.005,0.006,41899.0,10727.0,1.0
participant_intercept[257],-0.378,0.973,-2.199,1.456,0.005,0.009,40536.0,10520.0,1.0
participant_intercept[258],0.308,0.996,-1.571,2.156,0.005,0.01,38857.0,8778.0,1.0
participant_intercept[259],-0.259,0.983,-2.086,1.643,0.005,0.009,40501.0,10635.0,1.0
participant_intercept[260],0.944,0.984,-0.86,2.829,0.005,0.006,44790.0,9997.0,1.0
participant_intercept[261],0.939,0.988,-0.898,2.814,0.005,0.006,40369.0,10915.0,1.0
participant_intercept[262],0.596,0.977,-1.258,2.41,0.005,0.008,39293.0,10372.0,1.0
participant_intercept[263],-0.428,0.994,-2.252,1.463,0.005,0.009,37543.0,10804.0,1.0
participant_intercept[264],-0.385,0.982,-2.219,1.464,0.005,0.009,41924.0,10463.0,1.0
participant_intercept[265],0.941,0.993,-0.927,2.794,0.005,0.006,37056.0,10269.0,1.0
participant_intercept[266],1.084,0.969,-0.7,2.922,0.005,0.006,42782.0,10925.0,1.0
participant_intercept[267],0.941,0.976,-0.857,2.789,0.005,0.006,35628.0,11224.0,1.0
participant_intercept[268],0.917,1.006,-1.009,2.802,0.005,0.007,40695.0,10190.0,1.0
participant_intercept[269],-0.442,0.988,-2.367,1.369,0.005,0.008,40834.0,11150.0,1.0
participant_intercept[270],0.943,0.994,-0.885,2.807,0.005,0.006,41305.0,10060.0,1.0
participant_intercept[271],0.61,0.971,-1.2,2.485,0.005,0.008,40595.0,10812.0,1.0
participant_intercept[272],0.659,0.999,-1.193,2.551,0.005,0.008,35968.0,10696.0,1.0
participant_intercept[273],0.658,0.997,-1.239,2.513,0.005,0.007,43645.0,11072.0,1.0
participant_intercept[274],-1.195,0.974,-2.954,0.723,0.005,0.006,39301.0,9834.0,1.0
participant_intercept[275],-2.87,0.956,-4.737,-1.158,0.005,0.004,41576.0,10772.0,1.0
participant_intercept[276],-2.849,0.967,-4.667,-1.035,0.005,0.004,42191.0,11292.0,1.0
participant_intercept[277],2.328,0.975,0.571,4.267,0.005,0.004,39345.0,11251.0,1.0
participant_intercept[278],-0.519,0.984,-2.336,1.313,0.005,0.008,43307.0,11570.0,1.0
participant_intercept[279],0.2,1.003,-1.717,2.042,0.005,0.009,44260.0,11471.0,1.0
participant_intercept[280],-1.605,0.964,-3.44,0.187,0.005,0.005,39634.0,10461.0,1.0
participant_intercept[281],0.939,0.975,-0.885,2.755,0.005,0.006,41536.0,10728.0,1.0
participant_intercept[282],0.926,0.993,-0.977,2.741,0.005,0.007,40435.0,10742.0,1.0
participant_intercept[283],0.414,0.968,-1.366,2.226,0.005,0.009,42142.0,10323.0,1.0
participant_intercept[284],-0.585,0.997,-2.412,1.339,0.005,0.008,36249.0,10521.0,1.0
participant_intercept[285],0.476,0.949,-1.286,2.27,0.005,0.007,41204.0,11635.0,1.0
participant_intercept[286],0.262,0.991,-1.552,2.116,0.005,0.009,37555.0,10196.0,1.0
participant_intercept[287],0.927,0.992,-0.894,2.85,0.005,0.007,39379.0,10337.0,1.0
participant_intercept[288],-0.868,0.964,-2.761,0.895,0.005,0.007,44088.0,9922.0,1.0
participant_intercept[289],0.469,0.98,-1.412,2.292,0.005,0.009,38913.0,10422.0,1.0
participant_intercept[290],-1.704,0.959,-3.462,0.171,0.005,0.005,40002.0,10788.0,1.0
participant_intercept[291],0.235,0.988,-1.675,2.011,0.005,0.009,41072.0,10507.0,1.0
participant_intercept[292],-0.489,0.988,-2.324,1.37,0.005,0.008,38683.0,10107.0,1.0
participant_intercept[293],0.942,0.991,-0.876,2.897,0.005,0.006,36831.0,11457.0,1.0
participant_intercept[294],0.928,1.005,-0.996,2.796,0.005,0.006,43420.0,10880.0,1.0
participant_intercept[295],-0.382,0.989,-2.262,1.424,0.005,0.009,40391.0,10870.0,1.0
participant_intercept[296],0.02,0.981,-1.835,1.874,0.005,0.01,41908.0,10412.0,1.0
participant_intercept[297],0.56,0.989,-1.259,2.447,0.005,0.008,35777.0,10445.0,1.0
participant_intercept[298],-1.051,0.98,-2.891,0.784,0.005,0.006,40546.0,10400.0,1.0
participant_intercept[299],1.127,0.962,-0.703,2.919,0.005,0.006,39572.0,10575.0,1.0
participant_intercept[300],-0.482,0.982,-2.343,1.337,0.005,0.008,40479.0,10572.0,1.0
participant_intercept[301],0.333,1.001,-1.514,2.237,0.005,0.009,45556.0,10298.0,1.0
participant_intercept[302],0.932,0.998,-0.903,2.84,0.005,0.007,36850.0,10611.0,1.0
participant_intercept[303],-0.568,0.991,-2.457,1.253,0.005,0.008,43364.0,10856.0,1.0
participant_intercept[304],0.933,0.982,-0.914,2.764,0.005,0.006,37725.0,10590.0,1.0
participant_intercept[305],0.089,0.998,-1.738,2.031,0.005,0.01,39752.0,9188.0,1.0
participant_intercept[306],-0.205,0.979,-2.06,1.629,0.005,0.009,40385.0,10433.0,1.0
participant_intercept[307],0.681,0.972,-1.074,2.542,0.005,0.007,40333.0,10300.0,1.0
participant_intercept[308],0.045,0.992,-1.762,1.944,0.005,0.01,42469.0,9510.0,1.0
participant_intercept[309],-0.603,0.999,-2.501,1.249,0.005,0.008,39196.0,10992.0,1.0
participant_intercept[310],0.944,0.987,-1.003,2.718,0.005,0.007,40697.0,10032.0,1.0
participant_intercept[311],-1.784,0.963,-3.55,0.061,0.005,0.005,43858.0,11219.0,1.0
participant_intercept[312],2.154,0.958,0.364,3.975,0.005,0.004,38013.0,9845.0,1.0
participant_intercept[313],2.168,0.976,0.29,3.958,0.005,0.005,35433.0,10283.0,1.0
participant_intercept[314],0.494,0.983,-1.349,2.336,0.005,0.008,41967.0,10633.0,1.0
participant_intercept[315],-0.064,0.977,-1.925,1.728,0.005,0.01,38113.0,8496.0,1.0
participant_intercept[316],-0.943,0.985,-2.751,0.937,0.005,0.007,36945.0,9894.0,1.0
participant_intercept[317],0.73,0.971,-1.057,2.598,0.005,0.007,43103.0,10608.0,1.0
participant_intercept[318],-0.569,1.012,-2.505,1.286,0.005,0.008,38866.0,10710.0,1.0
participant_intercept[319],0.929,0.968,-0.87,2.79,0.005,0.006,40097.0,10684.0,1.0
participant_intercept[320],0.279,0.985,-1.623,2.066,0.005,0.009,40421.0,10268.0,1.0
participant_intercept[321],0.945,0.981,-0.886,2.776,0.005,0.007,43105.0,10773.0,1.0
participant_intercept[322],0.935,0.987,-0.86,2.868,0.005,0.007,37417.0,9784.0,1.0
participant_intercept[323],0.939,1.006,-0.967,2.79,0.005,0.007,39016.0,11162.0,1.0
participant_intercept[324],0.945,0.982,-0.928,2.793,0.005,0.006,42142.0,10749.0,1.0
participant_intercept[325],0.925,0.981,-0.951,2.716,0.005,0.007,41219.0,9913.0,1.0
participant_intercept[326],0.257,1.007,-1.669,2.129,0.005,0.009,46227.0,10561.0,1.0
participant_intercept[327],-0.412,0.963,-2.236,1.363,0.005,0.008,39545.0,11316.0,1.0
participant_intercept[328],0.27,0.991,-1.614,2.096,0.005,0.009,40107.0,10643.0,1.0
participant_intercept[329],-0.774,0.96,-2.611,0.991,0.005,0.007,36572.0,10507.0,1.0
participant_intercept[330],-1.117,0.983,-2.949,0.736,0.005,0.006,40200.0,10403.0,1.0
participant_intercept[331],-0.521,0.985,-2.345,1.352,0.005,0.008,43714.0,9519.0,1.0
participant_intercept[332],0.02,0.974,-1.836,1.871,0.005,0.009,41019.0,11124.0,1.0
participant_intercept[333],0.604,0.962,-1.202,2.422,0.005,0.007,39936.0,10955.0,1.0
participant_intercept[334],-0.107,0.971,-1.925,1.73,0.005,0.01,42853.0,10155.0,1.0
participant_intercept[335],-0.195,0.974,-2.012,1.604,0.005,0.01,39271.0,9504.0,1.0
participant_intercept[336],0.93,0.981,-0.86,2.808,0.005,0.006,44776.0,10280.0,1.0
participant_intercept[337],0.181,0.966,-1.57,2.046,0.005,0.01,40450.0,9667.0,1.0
participant_intercept[338],1.216,0.967,-0.587,3.029,0.005,0.006,40457.0,10063.0,1.0
participant_intercept[339],0.937,0.993,-0.864,2.848,0.005,0.007,40543.0,10049.0,1.0
participant_intercept[340],-0.832,0.964,-2.651,0.957,0.005,0.007,39295.0,9910.0,1.0
participant_intercept[341],-1.077,0.985,-2.883,0.776,0.005,0.006,36215.0,11111.0,1.0
participant_intercept[342],-0.928,0.968,-2.726,0.879,0.005,0.006,40233.0,10692.0,1.0
participant_intercept[343],1.374,0.962,-0.478,3.156,0.005,0.005,43036.0,10879.0,1.0
participant_intercept[344],-0.799,0.985,-2.712,1.012,0.005,0.007,41381.0,10411.0,1.0
participant_intercept[345],0.077,0.989,-1.766,1.961,0.005,0.009,35460.0,11124.0,1.0
participant_intercept[346],0.385,0.985,-1.54,2.151,0.005,0.009,39623.0,9799.0,1.0
participant_intercept[347],-0.252,0.987,-2.082,1.609,0.005,0.009,39829.0,10702.0,1.0
participant_intercept[348],-0.306,0.993,-2.188,1.531,0.005,0.009,42597.0,10684.0,1.0
participant_intercept[349],0.811,0.959,-0.972,2.607,0.005,0.007,40412.0,10541.0,1.0
participant_intercept[350],0.925,1.004,-0.919,2.833,0.005,0.007,40589.0,10378.0,1.0
participant_intercept[351],0.588,0.999,-1.328,2.376,0.005,0.008,37650.0,10855.0,1.0
participant_intercept[352],-0.771,0.983,-2.705,1.015,0.005,0.007,39468.0,10559.0,1.0
participant_intercept[353],0.926,0.99,-0.963,2.772,0.005,0.007,38762.0,10018.0,1.0
participant_intercept[354],-1.634,0.995,-3.532,0.215,0.005,0.005,41493.0,11124.0,1.0
participant_intercept[355],-1.212,0.99,-3.04,0.68,0.005,0.006,40586.0,10481.0,1.0
participant_intercept[356],0.524,1.005,-1.335,2.432,0.005,0.008,39979.0,10402.0,1.0
participant_intercept[357],-0.293,0.961,-2.059,1.569,0.005,0.008,38660.0,10962.0,1.0
participant_intercept[358],0.002,0.978,-1.809,1.86,0.005,0.009,42271.0,10755.0,1.0
participant_intercept[359],0.661,0.98,-1.195,2.459,0.005,0.007,40315.0,10512.0,1.0
participant_intercept[360],-0.22,0.986,-2.018,1.673,0.005,0.009,42890.0,11102.0,1.0
participant_intercept[361],0.217,0.981,-1.582,2.128,0.005,0.009,35174.0,10573.0,1.0
participant_intercept[362],1.186,0.966,-0.693,2.931,0.005,0.006,39079.0,10682.0,1.0
participant_intercept[363],0.908,0.992,-0.938,2.763,0.005,0.007,45302.0,10722.0,1.0
participant_intercept[364],0.93,0.996,-0.93,2.739,0.005,0.006,40772.0,10622.0,1.0
participant_intercept[365],0.924,0.977,-0.874,2.805,0.005,0.006,41081.0,10904.0,1.0
participant_intercept[366],0.03,0.986,-1.827,1.885,0.005,0.009,40941.0,11551.0,1.0
participant_intercept[367],-0.149,0.995,-2.046,1.67,0.005,0.009,41009.0,11018.0,1.0
participant_intercept[368],0.641,0.993,-1.216,2.516,0.005,0.008,39252.0,9637.0,1.0
participant_intercept[369],0.912,0.986,-0.968,2.722,0.005,0.007,38505.0,10999.0,1.0
participant_intercept[370],0.706,0.989,-1.105,2.576,0.005,0.007,38500.0,10248.0,1.0
participant_intercept[371],-0.321,0.987,-2.162,1.553,0.005,0.009,39666.0,10413.0,1.0
participant_intercept[372],2.339,0.958,0.486,4.118,0.005,0.004,40165.0,9802.0,1.0
participant_intercept[373],0.933,0.977,-0.889,2.741,0.005,0.006,38475.0,10536.0,1.0
participant_intercept[374],0.568,0.997,-1.392,2.344,0.005,0.008,39517.0,10929.0,1.0
participant_intercept[375],-0.676,0.973,-2.474,1.18,0.005,0.007,38209.0,10641.0,1.0
participant_intercept[376],-0.379,0.977,-2.247,1.432,0.005,0.009,38456.0,9840.0,1.0
participant_intercept[377],0.941,0.983,-0.94,2.775,0.005,0.006,44641.0,10816.0,1.0
participant_intercept[378],-0.168,0.985,-2.064,1.662,0.005,0.009,39720.0,10731.0,1.0
participant_intercept[379],0.946,0.989,-0.822,2.902,0.005,0.007,38564.0,10517.0,1.0
participant_intercept[380],-0.796,0.971,-2.56,1.083,0.004,0.006,47550.0,11372.0,1.0
participant_intercept[381],-1.985,0.977,-3.778,-0.089,0.005,0.005,40227.0,10063.0,1.0
participant_intercept[382],-0.276,1.001,-2.142,1.565,0.005,0.009,33834.0,10978.0,1.0
participant_intercept[383],0.743,0.965,-1.095,2.54,0.005,0.007,39760.0,10777.0,1.0
participant_intercept[384],0.938,0.997,-0.945,2.801,0.005,0.007,39176.0,10204.0,1.0
participant_intercept[385],0.795,0.98,-0.978,2.671,0.005,0.007,37009.0,10314.0,1.0
participant_intercept[386],0.927,0.986,-0.894,2.787,0.005,0.007,38631.0,10993.0,1.0
participant_intercept[387],2.31,0.962,0.48,4.089,0.005,0.004,36653.0,10545.0,1.0
participant_intercept[388],-0.446,0.993,-2.264,1.482,0.005,0.008,41792.0,10829.0,1.0
participant_intercept[389],0.049,0.97,-1.772,1.886,0.005,0.01,40462.0,10664.0,1.0
participant_intercept[390],0.281,0.999,-1.536,2.2,0.005,0.009,40935.0,11029.0,1.0
sigma,31.793,0.188,31.435,32.153,0.001,0.001,38129.0,10902.0,1.0
